customer_id,gender,marketing_opt_in,preferred_language,preferred_channel,lifetime_value,risk_score,notes,created_at,updated_at
1,female,1,pt,store,481.29,16,"New customer, limited history so far.",2024-05-09 04:17:09,2024-09-11 04:11:42
2,female,0,en,both,70.69,33,"Price-sensitive, often uses coupons and promo codes.",2023-03-24 13:24:35,2023-08-07 21:26:33
3,female,1,pt,both,1389.89,51,,2024-02-24 02:46:06,2024-02-28 16:18:52
4,prefer_not_to_say,1,pt,online,1515.92,42,"Frequent online shopper, responds well to email campaigns.",2023-05-15 07:43:21,2023-08-30 11:09:13
5,female,1,pt,both,271.06,84,"New customer, limited history so far.",2025-02-15 04:44:00,2025-05-16 11:33:35
6,male,1,fr,both,855.84,51,Prefers in-store pickup and weekend promotions.,2025-02-18 01:25:29,2025-04-28 07:03:40
7,male,0,en,online,1669.50,70,"Frequent online shopper, responds well to email campaigns.",2023-11-22 10:57:03,2024-01-05 16:06:22
8,male,1,en,store,43.55,60,"Price-sensitive, often uses coupons and promo codes.",2024-06-10 04:55:27,2024-11-24 01:57:22
9,female,1,pt,online,13.97,48,"Price-sensitive, often uses coupons and promo codes.",2023-05-27 22:21:27,2023-11-10 08:25:34
10,other,1,en,store,1522.17,63,,2025-08-18 17:40:55,2026-01-15 22:52:54
11,other,1,en,both,1704.32,83,,2024-01-26 11:52:54,2024-07-06 16:21:18
12,male,0,en,online,40.36,51,"Frequent online shopper, responds well to email campaigns.",2024-12-03 18:59:18,2025-03-18 05:26:25
13,male,0,en,online,187.83,57,,2023-08-07 04:07:15,2024-01-20 13:51:56
14,female,1,pt,both,248.61,72,High-value customer with stable purchasing pattern.,2025-04-02 20:20:36,2025-09-16 13:51:05
15,male,1,en,both,36.49,6,"Frequent online shopper, responds well to email campaigns.",2024-11-23 00:05:23,2025-01-16 18:10:00
16,male,1,pt,both,1279.06,63,,2024-06-28 18:55:54,2024-08-22 02:16:49
17,male,1,en,online,1208.32,50,Prefers in-store pickup and weekend promotions.,2024-09-11 05:26:07,2025-02-03 22:26:19
18,female,1,en,online,906.56,98,"New customer, limited history so far.",2025-07-21 09:27:28,2025-11-05 11:52:49
19,female,1,en,both,1064.03,21,"New customer, limited history so far.",2025-06-11 04:32:09,2025-08-16 21:40:08
20,female,0,en,online,205.67,49,"Price-sensitive, often uses coupons and promo codes.",2023-12-01 16:39:41,2023-12-27 14:35:13
21,other,1,en,store,227.18,85,Prefers in-store pickup and weekend promotions.,2024-09-21 06:25:23,2024-10-17 02:33:30
22,male,0,en,online,5.11,50,"Price-sensitive, often uses coupons and promo codes.",2024-03-09 19:51:46,2024-06-01 22:23:23
23,female,1,en,both,924.84,100,"Price-sensitive, often uses coupons and promo codes.",2025-04-29 16:31:33,2025-06-19 19:56:32
24,male,1,en,both,4.74,56,"Frequent online shopper, responds well to email campaigns.",2024-09-03 12:24:46,2025-02-25 17:54:22
25,male,0,en,store,843.35,7,"New customer, limited history so far.",2025-04-11 03:23:48,2025-07-03 05:41:56
26,male,1,pt,online,1952.48,10,"Frequent online shopper, responds well to email campaigns.",2023-12-07 10:29:04,2024-01-26 05:42:58
27,male,0,pt,online,1978.29,84,High-value customer with stable purchasing pattern.,2023-09-12 23:58:48,2024-02-09 18:44:40
28,male,1,en,online,625.66,63,,2024-04-27 00:28:52,2024-08-05 17:09:29
29,female,1,en,online,1965.22,82,"Price-sensitive, often uses coupons and promo codes.",2024-04-12 00:47:43,2024-06-15 12:27:09
30,male,1,en,both,835.57,59,Prefers in-store pickup and weekend promotions.,2023-04-23 14:05:29,2023-05-18 11:28:46
