customer_id,order_id,store_id,interaction_type,channel,subject,message,rating,metadata_json
164,115,1,support_ticket,mobile_app,Support Ticket #1,Sample interaction 1 of type support_ticket via mobile_app.,2,"{""device"":""mobile"",""campaign"":""mobile_push""}"
36,755,2,add_to_cart,support,Add To Cart #2,Sample interaction 2 of type add_to_cart via support.,4,"{""device"":""mobile"",""campaign"":""mobile_push""}"
9,31,2,review,mobile_app,Review #3,Sample interaction 3 of type review via mobile_app.,5,"{""device"":""mobile"",""campaign"":""mobile_push""}"
155,28,9,review,support,Review #4,Sample interaction 4 of type review via support.,4,"{""device"":""mobile"",""campaign"":""mobile_push""}"
57,460,5,page_view,mobile_app,Page View #5,Sample interaction 5 of type page_view via mobile_app.,4,"{""device"":""mobile"",""campaign"":""mobile_push""}"
88,285,3,review,email,Review #6,Sample interaction 6 of type review via email.,1,"{""device"":""desktop"",""campaign"":""spring_sale""}"
24,390,2,email_open,email,Email Open #7,Sample interaction 7 of type email_open via email.,5,"{""device"":""desktop"",""campaign"":""spring_sale""}"
68,45,8,add_to_cart,store,Add To Cart #8,Sample interaction 8 of type add_to_cart via store.,1,"{""device"":""mobile"",""campaign"":""mobile_push""}"
142,301,6,review,web,Review #9,Sample interaction 9 of type review via web.,1,"{""device"":""desktop"",""campaign"":""spring_sale""}"
170,234,5,add_to_cart,mobile_app,Add To Cart #10,Sample interaction 10 of type add_to_cart via mobile_app.,1,"{""device"":""mobile"",""campaign"":""mobile_push""}"
98,285,8,email_open,mobile_app,Email Open #11,Sample interaction 11 of type email_open via mobile_app.,3,"{""device"":""mobile"",""campaign"":""mobile_push""}"
91,215,5,add_to_cart,support,Add To Cart #12,Sample interaction 12 of type add_to_cart via support.,2,"{""device"":""mobile"",""campaign"":""mobile_push""}"
137,747,4,purchase,store,Purchase #13,Sample interaction 13 of type purchase via store.,4,"{""device"":""mobile"",""campaign"":""mobile_push""}"
70,656,9,review,email,Review #14,Sample interaction 14 of type review via email.,1,"{""device"":""desktop"",""campaign"":""spring_sale""}"
