order_item_id,order_id,product_id,quantity,unit_price,discount_amount,total_line_amount,created_at,updated_at
1,1,83,2,102.01,24.36,179.66,2023-03-29 06:00:28,2023-04-03 10:35:53
2,1,61,4,426.18,18.45,1686.27,2025-03-30 21:17:23,2025-04-03 20:14:30
3,1,53,2,122.53,46.30,198.76,2025-09-25 11:10:33,2025-10-01 19:30:02
4,1,112,2,435.08,85.31,784.85,2023-07-19 11:28:04,2023-07-24 15:27:57
5,2,96,1,263.56,59.53,204.03,2024-11-25 06:54:31,2024-12-01 00:15:58
6,2,92,4,139.10,7.66,548.74,2023-10-03 07:32:37,2023-10-04 12:37:45
7,2,107,1,193.09,0.67,192.42,2023-11-27 20:53:39,2023-11-30 07:38:05
8,2,91,1,182.14,48.00,134.14,2025-10-13 05:39:46,2025-10-15 15:20:27
9,3,31,3,99.98,26.28,273.66,2024-12-15 13:54:07,2024-12-18 12:29:28
10,3,40,3,385.65,212.86,944.09,2024-08-19 11:07:18,2024-08-24 05:09:48
11,3,115,5,382.43,198.59,1713.56,2024-09-27 22:14:16,2024-09-29 20:16:21
12,3,84,2,280.07,58.63,501.51,2024-06-20 02:59:32,2024-06-21 11:20:49
13,4,76,1,45.05,9.00,36.05,2025-02-22 12:45:31,2025-02-27 06:19:49
14,4,42,5,489.92,77.19,2372.41,2023-09-20 07:51:42,2023-09-23 09:13:00
15,5,87,2,282.00,112.37,451.63,2024-12-26 02:30:51,2024-12-27 17:27:20
16,5,64,4,32.00,0.60,127.40,2024-06-22 23:37:23,2024-06-28 09:02:26
17,5,92,4,374.98,61.22,1438.70,2025-02-15 12:06:40,2025-02-16 17:36:05
18,5,39,2,284.89,26.80,542.98,2023-01-20 22:08:54,2023-01-21 16:05:45
19,5,84,1,250.67,0.47,250.20,2023-10-30 13:54:15,2023-11-05 22:04:09
20,6,27,4,236.41,10.30,935.34,2025-04-19 05:47:42,2025-04-22 07:48:31
21,7,64,2,425.72,246.74,604.70,2025-07-26 15:30:56,2025-07-28 17:50:38
22,7,32,1,116.25,16.38,99.87,2023-12-30 18:34:14,2023-12-31 18:41:36
