order_id,promotion_id,applied_amount
161,7,60.12
161,6,52.25
222,20,18.96
222,7,19.87
527,13,78.51
527,20,79.30
658,11,10.54
658,6,54.89
370,11,51.86
691,6,44.06
691,14,75.56
361,1,13.19
392,2,44.32
590,2,44.92
297,9,43.44
297,19,50.26
38,13,41.52
355,13,55.78
355,9,49.86
276,14,41.01
276,15,48.52
627,12,44.08
627,14,58.87
547,19,28.42
408,13,52.72
648,18,74.37
648,7,41.60
132,16,52.10
607,20,60.24
607,8,7.80
671,2,6.30
671,4,41.37
432,1,54.37
432,7,27.49
24,7,34.58
488,14,25.31
136,11,76.84
521,10,17.36
650,16,43.74
703,8,38.34
670,6,35.69
212,13,46.06
37,2,62.48
37,7,18.53
340,3,28.68
491,11,53.42
491,20,6.02
109,6,43.29
109,4,64.87
724,15,64.04
434,17,76.81
142,5,37.70
690,7,18.71
318,2,27.18
93,3,4.70
93,8,25.90
748,11,29.76
748,19,65.73
71,18,12.75
187,17,75.38
187,2,17.98
621,1,16.19
701,18,10.84
524,12,52.09
524,1,75.23
53,5,70.81
231,14,5.52
231,4,38.59
360,5,20.70
210,11,34.54
294,9,79.66
294,17,42.83
416,11,28.61
106,18,43.87
106,8,6.39
175,9,69.56
175,5,34.82
758,5,27.85
493,14,13.35
756,1,55.74
609,14,67.20
77,10,24.69
751,4,11.08
751,13,53.46
178,4,66.09
792,3,75.64
792,11,33.50
472,18,68.84
472,12,39.36
280,15,28.53
676,12,35.19
224,19,19.11
62,12,13.23
324,3,44.06
324,11,12.06
793,1,59.23
755,6,43.63
475,3,6.62
662,15,53.44
266,19,42.95
266,17,42.96
303,18,48.14
154,18,75.74
154,8,55.27
282,3,40.34
759,3,72.94
52,20,24.73
52,16,23.60
574,5,55.14
574,16,38.90
2,5,15.97
523,19,28.05
445,9,50.41
651,5,74.87
39,2,41.10
338,9,14.38
429,3,6.37
453,11,59.32
19,3,73.23
12,3,16.30
593,4,39.89
78,2,53.42
123,4,33.72
713,16,71.09
683,6,34.43
683,10,74.49
505,3,5.12
505,13,16.98
257,9,3.58
257,4,45.15
272,19,72.89
82,11,74.56
82,12,36.59
89,9,72.64
89,16,21.09
32,18,68.12
32,15,31.34
752,1,51.91
752,20,74.95
441,11,76.85
573,8,42.91
461,19,72.99
191,18,75.41
396,19,20.78
514,11,70.37
576,14,61.70
576,6,52.66
608,3,33.02
608,20,71.81
612,12,42.82
612,7,48.79
215,11,23.03
706,16,64.07
706,6,42.68
251,6,67.10
344,12,38.98
220,3,59.50
362,2,9.02
637,9,17.91
637,19,34.69
642,17,14.80
431,19,53.62
549,5,52.26
626,17,63.19
225,2,74.86
225,12,25.16
688,5,22.07
354,2,62.15
714,14,37.15
403,10,15.28
403,11,47.47
481,2,77.68
169,8,78.66
673,6,48.17
59,19,49.62
59,4,60.24
310,10,67.21
310,1,20.27
382,9,37.11
385,3,59.23
544,8,51.01
264,4,59.36
291,20,26.19
291,2,73.38
5,2,16.39
363,20,38.43
478,15,11.40
8,15,11.47
8,2,59.96
92,18,69.90
694,20,20.39
605,18,20.15
85,15,29.36
569,7,18.93
341,5,18.87
341,15,6.81
152,16,43.93
591,2,10.60
271,16,13.84
420,3,30.91
584,12,24.44
548,15,7.59
643,16,65.04
528,20,20.60
503,10,50.59
216,12,51.33
216,14,68.81
195,9,26.51
195,20,57.28
520,7,47.47
520,2,69.30
304,16,19.17
304,3,33.53
530,13,9.11
484,13,20.87
484,8,53.60
722,10,7.17
686,1,60.90
353,14,49.70
674,2,39.86
624,12,25.33
96,10,29.25
301,12,20.96
717,5,71.37
56,6,12.91
56,7,60.27
375,8,56.15
375,3,8.17
274,1,61.43
101,19,32.02
577,15,50.71
577,12,35.40
788,19,47.89
788,5,60.69
117,8,58.87
457,1,75.61
73,1,5.29
543,17,20.18
254,11,24.78
337,3,10.51
727,7,16.99
20,15,35.75
20,19,30.92
13,15,66.27
91,15,43.91
489,13,67.39
601,2,6.23
601,12,35.79
290,13,37.36
765,7,12.60
649,7,76.57
541,16,60.38
400,13,8.06
162,16,23.21
162,1,3.07
465,10,58.58
465,15,67.51
466,4,42.96
466,7,3.53
578,4,51.34
578,11,46.83
681,1,63.39
319,20,46.63
384,9,30.93
176,6,61.27
99,1,17.57
99,3,79.54
538,6,76.30
538,8,45.81
477,15,19.82
108,7,47.30
108,1,31.54
661,8,6.00
697,2,23.15
207,9,58.36
483,13,11.63
735,8,37.62
1,6,24.22
766,1,38.20
776,8,49.24
333,3,22.43
561,19,60.16
427,5,74.35
312,8,51.66
753,4,72.20
613,12,18.72
630,11,22.68
679,15,37.65
797,11,37.70
600,16,29.85
307,2,10.21
464,10,28.14
464,17,64.03
113,3,41.02
565,5,25.18
565,8,61.39
774,2,22.15
774,13,35.33
709,7,42.00
622,18,31.70
245,5,35.53
245,3,60.05
764,3,50.02
159,15,78.43
368,1,5.25
663,7,37.50
76,3,13.74
791,6,30.51
189,12,79.35
252,10,46.89
179,4,22.28
715,1,38.35
552,13,26.35
379,17,4.53
379,9,35.79
205,20,14.47
623,9,78.33
42,10,6.39
378,16,12.58
563,9,28.98
273,16,64.75
273,20,51.23
279,9,55.93
279,6,53.46
229,3,69.11
422,3,52.08
358,2,56.67
494,8,16.06
494,1,43.23
235,9,45.27
592,2,32.95
28,19,13.61
533,11,52.05
278,4,16.37
386,11,33.63
386,15,42.98
151,2,36.54
433,20,8.75
387,17,59.24
387,20,32.33
794,9,3.54
306,12,39.82
718,4,31.63
718,14,48.02
186,11,48.72
246,10,76.53
568,3,57.26
559,5,13.78
236,15,41.92
160,12,35.44
564,1,68.93
564,16,5.42
349,8,37.02
721,18,69.30
616,13,15.00
616,20,58.80
165,7,25.99
163,5,38.55
321,19,4.32
321,11,12.78
230,4,36.32
230,6,66.28
473,7,43.81
120,3,54.11
206,11,11.93
153,20,16.12
166,1,15.55
218,13,35.03
218,1,71.57
496,20,6.95
170,13,39.40
456,6,75.82
456,20,27.53
129,11,4.07
129,2,42.37
745,17,74.24
359,17,64.41
750,2,76.57
87,4,37.26
156,11,14.05
602,10,12.08
602,15,22.07
217,4,66.31
217,20,22.84
770,5,73.60
342,19,55.75
342,11,54.75
460,2,37.57
460,12,60.97
614,19,74.27
614,11,35.82
699,15,8.41
762,13,11.85
762,1,10.83
149,10,59.79
149,18,76.03
114,18,26.73
769,19,54.40
798,19,22.95
405,5,59.28
405,13,12.66
747,10,70.64
83,18,29.51
471,16,56.45
515,4,16.87
515,3,20.58
