order_id,customer_id,store_id,order_date,status,total_amount,shipping_address_id,billing_address_id,channel,payment_method,created_at,updated_at
1,149,7,2024-12-26 16:11:32,pending,395.23,249,249,store,debit,2024-12-26 16:11:32,2025-01-05 23:37:44
2,85,3,2024-02-01 12:06:32,paid,31.69,85,85,store,cash,2024-02-01 12:06:32,2024-02-17 07:57:33
3,62,8,2024-10-18 00:33:42,paid,293.85,62,341,store,credit_card,2024-10-18 00:33:42,2024-10-31 00:00:37
4,102,5,2024-10-19 01:21:14,confirmed,840.27,111,111,store,credit_card,2024-10-19 01:21:14,2024-11-04 19:54:25
5,204,1,2024-07-12 15:19:28,pending,491.47,204,204,online,credit_card,2024-07-12 15:19:28,2024-07-15 19:54:57
6,196,1,2024-07-17 13:34:53,delivered,499.28,262,262,online,credit_card,2024-07-17 13:34:53,2024-07-26 08:38:41
7,177,1,2023-01-10 05:44:49,returned,26.44,177,177,online,debit,2023-01-10 05:44:49,2023-01-16 00:14:34
8,174,9,2025-09-17 11:09:50,confirmed,67.33,174,174,store,cash,2025-09-17 11:09:50,2025-09-24 05:35:13
9,21,6,2024-06-08 09:01:20,shipped,25.25,238,238,store,debit,2024-06-08 09:01:20,2024-06-21 21:41:48
10,174,3,2024-03-11 03:28:04,cancelled,112.51,174,164,store,credit_card,2024-03-11 03:28:04,2024-03-23 00:09:11
11,25,1,2023-10-01 11:25:48,pending,613.11,25,25,online,paypal,2023-10-01 11:25:48,2023-10-17 19:27:09
12,62,9,2025-10-22 21:47:54,paid,540.65,62,62,store,credit_card,2025-10-22 21:47:54,2025-11-08 16:23:11
13,174,1,2024-09-18 09:55:26,shipped,24.37,174,174,online,credit_card,2024-09-18 09:55:26,2024-09-24 06:15:09
14,38,1,2024-07-28 16:06:52,pending,1115.08,38,321,online,credit_card,2024-07-28 16:06:52,2024-08-24 08:41:03
15,54,1,2025-04-27 22:27:10,delivered,153.38,54,54,online,credit_card,2025-04-27 22:27:10,2025-05-12 08:21:32
16,193,1,2023-03-19 01:45:00,delivered,193.73,193,193,online,paypal,2023-03-19 01:45:00,2023-04-14 21:44:37
17,182,1,2023-02-22 08:03:35,delivered,340.23,30,30,online,other,2023-02-22 08:03:35,2023-03-16 06:45:44
18,171,1,2025-08-15 15:03:10,returned,371.58,171,171,online,gift_card,2025-08-15 15:03:10,2025-08-28 12:56:27
19,155,3,2025-08-28 09:40:16,delivered,190.05,155,155,store,cash,2025-08-28 09:40:16,2025-09-10 06:37:40
20,2,1,2023-12-03 18:01:32,delivered,438.32,2,2,online,other,2023-12-03 18:01:32,2023-12-12 02:26:13
21,187,5,2024-11-28 01:56:31,confirmed,1457.79,350,350,store,paypal,2024-11-28 01:56:31,2024-12-09 02:09:57
22,27,1,2023-01-20 04:22:56,shipped,1302.96,27,27,online,paypal,2023-01-20 04:22:56,2023-01-26 10:33:38
23,29,1,2023-03-05 13:55:18,shipped,502.05,29,29,online,paypal,2023-03-05 13:55:18,2023-03-18 22:44:31
24,104,2,2023-06-30 20:45:56,paid,436.92,104,104,store,other,2023-06-30 20:45:56,2023-07-19 17:18:24
25,168,1,2023-08-24 05:18:57,delivered,1160.51,168,168,online,cash,2023-08-24 05:18:57,2023-08-25 19:05:18
26,62,1,2024-01-11 04:48:54,delivered,79.43,62,62,online,credit_card,2024-01-11 04:48:54,2024-01-20 14:30:18
27,227,1,2023-02-12 06:15:26,delivered,73.91,227,227,online,cash,2023-02-12 06:15:26,2023-02-13 21:16:07
28,194,4,2024-01-31 06:42:26,delivered,669.03,194,194,store,debit,2024-01-31 06:42:26,2024-02-22 12:26:46
29,158,6,2023-03-28 06:26:33,delivered,154.82,158,158,store,credit_card,2023-03-28 06:26:33,2023-03-30 10:31:27
30,219,2,2024-07-03 21:14:40,confirmed,20.01,54,219,store,credit_card,2024-07-03 21:14:40,2024-07-25 04:06:15
31,70,1,2023-11-30 05:09:56,delivered,139.83,70,70,online,credit_card,2023-11-30 05:09:56,2023-12-23 21:38:31
32,77,8,2025-03-27 10:44:25,pending,436.44,77,77,store,cash,2025-03-27 10:44:25,2025-04-10 07:58:56
33,117,6,2023-07-31 22:23:34,shipped,360.94,117,117,store,cash,2023-07-31 22:23:34,2023-08-24 07:28:24
34,25,2,2025-11-17 15:58:28,delivered,1001.74,25,25,store,gift_card,2025-11-17 15:58:28,2025-11-29 00:14:25
35,222,8,2024-10-12 04:27:42,delivered,1249.93,222,222,store,credit_card,2024-10-12 04:27:42,2024-10-12 19:15:35
36,44,1,2023-09-03 22:09:54,delivered,488.12,44,283,online,credit_card,2023-09-03 22:09:54,2023-10-01 06:19:43
37,188,5,2023-08-07 01:04:14,confirmed,72.15,188,188,store,credit_card,2023-08-07 01:04:14,2023-08-21 20:25:26
38,48,1,2023-09-04 07:29:12,delivered,362.36,48,92,online,credit_card,2023-09-04 07:29:12,2023-09-04 12:50:42
39,2,2,2023-08-28 22:50:02,paid,1313.75,210,210,store,debit,2023-08-28 22:50:02,2023-09-07 13:59:03
40,83,1,2025-06-21 09:26:00,shipped,1327.16,83,83,online,paypal,2025-06-21 09:26:00,2025-07-06 00:53:20
41,76,8,2023-09-03 06:51:56,delivered,51.37,76,76,store,other,2023-09-03 06:51:56,2023-09-12 01:17:08
42,65,1,2025-02-05 13:48:05,cancelled,85.05,65,65,online,credit_card,2025-02-05 13:48:05,2025-02-24 19:37:38
43,225,6,2023-09-30 14:05:01,delivered,392.06,225,225,store,cash,2023-09-30 14:05:01,2023-10-04 13:30:41
44,176,1,2025-05-13 20:56:15,delivered,1021.33,176,176,online,cash,2025-05-13 20:56:15,2025-05-31 14:09:33
45,184,1,2025-09-23 01:06:46,delivered,738.35,184,184,online,credit_card,2025-09-23 01:06:46,2025-10-17 02:56:37
46,120,5,2024-04-25 15:17:35,delivered,172.12,120,120,store,credit_card,2024-04-25 15:17:35,2024-05-12 12:29:49
47,125,1,2023-04-23 06:37:33,shipped,503.03,125,125,online,other,2023-04-23 06:37:33,2023-05-07 19:58:32
48,58,1,2023-12-04 23:22:43,paid,446.18,58,58,online,paypal,2023-12-04 23:22:43,2023-12-17 23:28:41
49,201,3,2023-08-12 21:58:34,shipped,582.37,201,201,store,paypal,2023-08-12 21:58:34,2023-09-10 19:56:38
50,73,1,2024-06-07 16:09:32,delivered,276.08,73,73,online,debit,2024-06-07 16:09:32,2024-06-10 15:42:18
51,7,1,2023-10-31 18:57:38,paid,181.91,159,159,online,credit_card,2023-10-31 18:57:38,2023-11-26 22:32:40
52,70,1,2023-01-29 01:58:44,delivered,106.11,70,70,online,credit_card,2023-01-29 01:58:44,2023-02-17 10:40:21
53,22,1,2023-06-02 10:45:02,shipped,1206.73,373,373,online,credit_card,2023-06-02 10:45:02,2023-06-30 08:57:44
54,28,1,2025-04-30 01:52:08,delivered,800.93,28,28,online,credit_card,2025-04-30 01:52:08,2025-05-07 19:41:59
55,29,1,2023-09-08 04:12:49,cancelled,539.79,29,39,online,credit_card,2023-09-08 04:12:49,2023-09-15 22:59:31
56,221,1,2025-11-24 00:58:28,returned,56.65,221,221,online,cash,2025-11-24 00:58:28,2025-12-07 13:09:22
57,11,4,2024-06-26 21:46:27,returned,815.84,11,11,store,credit_card,2024-06-26 21:46:27,2024-07-22 15:42:16
58,185,2,2025-04-28 13:00:01,paid,75.84,185,185,store,credit_card,2025-04-28 13:00:01,2025-05-17 00:02:11
59,217,7,2025-02-16 01:54:22,delivered,886.65,217,217,store,debit,2025-02-16 01:54:22,2025-03-10 09:47:51
60,171,4,2025-11-16 03:54:46,delivered,429.67,171,171,store,debit,2025-11-16 03:54:46,2025-12-08 01:13:31
61,47,5,2023-03-28 19:22:12,delivered,965.81,47,47,store,debit,2023-03-28 19:22:12,2023-04-07 16:48:12
62,86,1,2023-05-09 10:41:24,confirmed,606.95,86,86,online,debit,2023-05-09 10:41:24,2023-06-05 12:11:27
63,115,1,2024-07-12 16:09:20,delivered,106.85,115,141,online,credit_card,2024-07-12 16:09:20,2024-08-10 19:50:10
64,20,2,2023-07-07 12:59:42,delivered,27.91,20,146,store,credit_card,2023-07-07 12:59:42,2023-07-10 04:08:37
65,161,2,2023-07-20 02:50:52,delivered,37.99,161,169,store,credit_card,2023-07-20 02:50:52,2023-07-27 14:26:28
66,184,1,2024-11-13 22:47:45,delivered,795.51,184,184,online,credit_card,2024-11-13 22:47:45,2024-12-05 13:09:53
67,109,6,2025-10-25 15:30:33,pending,610.01,20,20,store,credit_card,2025-10-25 15:30:33,2025-11-17 22:10:29
68,84,1,2025-04-24 10:32:55,paid,995.06,84,84,online,other,2025-04-24 10:32:55,2025-05-06 07:37:27
69,106,1,2025-07-15 10:26:47,delivered,1303.42,106,106,online,paypal,2025-07-15 10:26:47,2025-08-04 04:30:00
70,194,1,2025-07-04 13:14:31,delivered,66.79,172,172,online,debit,2025-07-04 13:14:31,2025-07-30 01:05:08
71,10,1,2024-07-23 01:31:07,cancelled,285.73,10,10,online,cash,2024-07-23 01:31:07,2024-07-23 11:55:14
72,188,1,2025-10-29 07:53:22,delivered,250.69,147,188,online,debit,2025-10-29 07:53:22,2025-11-03 11:13:25
73,208,1,2023-07-27 15:20:03,delivered,1435.90,41,41,online,credit_card,2023-07-27 15:20:03,2023-07-28 11:11:19
74,93,1,2024-02-17 05:01:37,delivered,1428.53,93,211,online,credit_card,2024-02-17 05:01:37,2024-02-24 09:58:43
75,51,6,2025-04-27 03:34:12,delivered,266.66,317,317,store,debit,2025-04-27 03:34:12,2025-05-05 16:24:29
76,106,3,2024-01-16 01:15:48,delivered,218.75,106,106,store,credit_card,2024-01-16 01:15:48,2024-02-06 01:04:33
77,123,1,2024-07-27 22:42:27,delivered,561.09,123,123,online,credit_card,2024-07-27 22:42:27,2024-08-25 17:57:26
78,196,1,2023-08-23 17:41:53,delivered,1354.29,196,383,online,debit,2023-08-23 17:41:53,2023-09-15 19:41:44
79,65,1,2025-03-17 21:47:21,delivered,457.82,65,65,online,credit_card,2025-03-17 21:47:21,2025-03-28 21:44:53
80,193,9,2024-02-01 07:50:24,delivered,126.18,193,30,store,credit_card,2024-02-01 07:50:24,2024-02-26 10:03:47
81,94,1,2024-08-07 06:06:30,delivered,54.90,94,94,online,credit_card,2024-08-07 06:06:30,2024-08-26 08:21:01
82,127,1,2025-02-28 16:03:45,returned,866.80,127,127,online,cash,2025-02-28 16:03:45,2025-03-06 08:08:06
83,2,1,2023-05-30 23:43:56,paid,92.78,2,2,online,cash,2023-05-30 23:43:56,2023-06-11 17:57:59
84,162,1,2025-02-09 05:51:28,paid,533.40,162,162,online,paypal,2025-02-09 05:51:28,2025-03-09 00:36:57
85,137,9,2023-08-15 22:30:44,delivered,1445.23,137,137,store,gift_card,2023-08-15 22:30:44,2023-08-22 11:36:49
86,160,1,2023-11-17 02:40:55,returned,62.85,160,160,online,cash,2023-11-17 02:40:55,2023-12-13 16:19:26
87,51,6,2024-10-13 21:15:25,delivered,65.23,51,246,store,credit_card,2024-10-13 21:15:25,2024-11-05 01:17:49
88,225,1,2024-04-08 13:47:05,delivered,61.16,177,177,online,cash,2024-04-08 13:47:05,2024-05-02 05:16:35
89,133,1,2025-07-24 09:12:31,paid,869.01,133,133,online,credit_card,2025-07-24 09:12:31,2025-07-27 19:15:01
90,115,1,2024-07-25 17:04:11,delivered,852.65,115,115,online,credit_card,2024-07-25 17:04:11,2024-08-08 08:02:57
91,7,1,2023-01-28 01:52:57,delivered,191.05,253,253,online,credit_card,2023-01-28 01:52:57,2023-02-25 00:35:47
92,248,3,2024-03-27 03:02:39,delivered,357.59,337,337,store,cash,2024-03-27 03:02:39,2024-04-04 14:30:16
93,34,1,2023-03-12 08:08:13,delivered,178.71,34,34,online,paypal,2023-03-12 08:08:13,2023-04-09 15:41:47
94,229,1,2025-03-06 02:43:46,delivered,273.00,57,146,online,credit_card,2025-03-06 02:43:46,2025-03-23 06:28:42
95,192,1,2025-03-20 12:14:45,delivered,493.50,192,229,online,credit_card,2025-03-20 12:14:45,2025-03-25 06:57:03
96,25,1,2024-11-25 06:33:36,delivered,831.57,25,25,online,credit_card,2024-11-25 06:33:36,2024-11-30 08:41:31
97,115,1,2025-07-16 04:54:35,delivered,1019.64,115,115,online,credit_card,2025-07-16 04:54:35,2025-07-20 16:44:57
98,191,4,2024-09-23 06:29:29,delivered,878.39,191,191,store,paypal,2024-09-23 06:29:29,2024-09-29 00:03:40
99,90,8,2025-08-02 16:29:57,delivered,36.51,90,90,store,debit,2025-08-02 16:29:57,2025-08-14 09:23:44
100,197,2,2025-03-07 03:44:56,delivered,863.78,325,148,store,debit,2025-03-07 03:44:56,2025-03-21 03:41:20
101,91,3,2025-08-26 06:12:55,paid,35.99,91,91,store,credit_card,2025-08-26 06:12:55,2025-09-07 05:58:36
102,36,1,2025-04-29 15:00:19,delivered,20.31,36,36,online,credit_card,2025-04-29 15:00:19,2025-05-12 02:23:19
103,58,3,2025-01-02 14:47:04,shipped,200.78,58,58,store,credit_card,2025-01-02 14:47:04,2025-01-27 07:35:43
