order_id,customer_id,store_id,store_type,status,channel,payment_method,order_date,day_of_week,hour_of_day,shipping_city,shipping_province,num_items,total_quantity,total_line_amount,total_discount_amount,num_promotions_applied,target_total_amount
1,149,7,physical,pending,store,debit,"2024-12-26 16:11:32",5,16,Toronto,Ontario,4,10,2849.54,174.42,1,395.23
2,85,3,physical,paid,store,cash,"2024-02-01 12:06:32",5,12,Toronto,Ontario,4,7,1079.33,115.86,1,31.69
3,62,8,physical,paid,store,credit_card,"2024-10-18 00:33:42",6,0,Mississauga,Ontario,4,13,3432.82,496.36,0,293.85
4,102,5,physical,confirmed,store,credit_card,"2024-10-19 01:21:14",7,1,Kitchener,Ontario,2,6,2408.46,86.19,0,840.27
5,204,1,online,pending,online,credit_card,"2024-07-12 15:19:28",6,15,London,Ontario,5,13,2810.91,201.46,1,491.47
6,196,1,online,delivered,online,credit_card,"2024-07-17 13:34:53",4,13,Ottawa,Ontario,1,4,935.34,10.30,1,499.28
7,177,1,online,returned,online,debit,"2023-01-10 05:44:49",3,5,Mississauga,Ontario,4,13,2350.41,734.53,0,26.44
8,174,9,physical,confirmed,store,cash,"2025-09-17 11:09:50",4,11,London,Ontario,4,12,3445.07,518.42,2,67.33
9,21,6,physical,shipped,store,debit,"2024-06-08 09:01:20",7,9,Toronto,Ontario,2,6,1897.34,135.88,0,25.25
10,174,3,physical,cancelled,store,credit_card,"2024-03-11 03:28:04",2,3,London,Ontario,2,6,1056.10,280.31,1,112.51
11,25,1,online,pending,online,paypal,"2023-10-01 11:25:48",1,11,Toronto,Ontario,1,3,1115.35,105.83,0,613.11
12,62,9,physical,paid,store,credit_card,"2025-10-22 21:47:54",4,21,Mississauga,Ontario,2,6,568.04,68.78,1,540.65
13,174,1,online,shipped,online,credit_card,"2024-09-18 09:55:26",4,9,London,Ontario,4,11,2565.93,584.89,1,24.37
14,38,1,online,pending,online,credit_card,"2024-07-28 16:06:52",1,16,Hamilton,Ontario,2,8,1033.18,89.81,1,1115.08
15,54,1,online,delivered,online,credit_card,"2025-04-27 22:27:10",1,22,"Niagara Falls",Ontario,2,10,2308.35,334.15,0,153.38
16,193,1,online,delivered,online,paypal,"2023-03-19 01:45:00",1,1,Toronto,Ontario,3,5,1591.41,292.07,0,193.73
17,182,1,online,delivered,online,other,"2023-02-22 08:03:35",4,8,Toronto,Ontario,3,7,742.64,161.82,0,340.23
18,171,1,online,returned,online,gift_card,"2025-08-15 15:03:10",6,15,Brampton,Ontario,4,11,2997.25,541.16,0,371.58
19,155,3,physical,delivered,store,cash,"2025-08-28 09:40:16",5,9,Mississauga,Ontario,1,1,336.82,142.82,1,190.05
20,2,1,online,delivered,online,other,"2023-12-03 18:01:32",1,18,Toronto,Ontario,4,9,2182.47,86.79,2,438.32
21,187,5,physical,confirmed,store,paypal,"2024-11-28 01:56:31",5,1,Brampton,Ontario,5,20,3069.79,931.54,0,1457.79
22,27,1,online,shipped,online,paypal,"2023-01-20 04:22:56",6,4,Mississauga,Ontario,3,8,796.87,295.23,0,1302.96
23,29,1,online,shipped,online,paypal,"2023-03-05 13:55:18",1,13,Kitchener,Ontario,5,13,3014.20,669.36,0,502.05
24,104,2,physical,paid,store,other,"2023-06-30 20:45:56",6,20,Kitchener,Ontario,3,11,3695.24,817.25,1,436.92
25,168,1,online,delivered,online,cash,"2023-08-24 05:18:57",5,5,"Niagara Falls",Ontario,1,2,311.90,42.84,0,1160.51
26,62,1,online,delivered,online,credit_card,"2024-01-11 04:48:54",5,4,Mississauga,Ontario,4,15,2446.14,915.49,0,79.43
27,227,1,online,delivered,online,cash,"2023-02-12 06:15:26",1,6,Kingston,Ontario,5,11,2838.94,676.12,0,73.91
28,194,4,physical,delivered,store,debit,"2024-01-31 06:42:26",4,6,Mississauga,Ontario,4,8,2070.47,344.15,1,669.03
29,158,6,physical,delivered,store,credit_card,"2023-03-28 06:26:33",3,6,Toronto,Ontario,1,3,1160.38,329.36,2,154.82
30,219,2,physical,confirmed,store,credit_card,"2024-07-03 21:14:40",4,21,"Niagara Falls",Ontario,5,19,3274.74,791.04,0,20.01
31,70,1,online,delivered,online,credit_card,"2023-11-30 05:09:56",5,5,Kitchener,Ontario,3,8,1792.71,530.59,0,139.83
32,77,8,physical,pending,store,cash,"2025-03-27 10:44:25",5,10,Toronto,Ontario,5,13,4024.34,639.76,2,436.44
33,117,6,physical,shipped,store,cash,"2023-07-31 22:23:34",2,22,Kitchener,Ontario,1,3,926.18,372.82,0,360.94
34,25,2,physical,delivered,store,gift_card,"2025-11-17 15:58:28",2,15,Toronto,Ontario,4,15,2748.95,380.12,0,1001.74
35,222,8,physical,delivered,store,credit_card,"2024-10-12 04:27:42",7,4,Mississauga,Ontario,4,11,1760.01,475.88,0,1249.93
36,44,1,online,delivered,online,credit_card,"2023-09-03 22:09:54",1,22,Kitchener,Ontario,4,15,3381.00,478.11,1,488.12
37,188,5,physical,confirmed,store,credit_card,"2023-08-07 01:04:14",2,1,Brampton,Ontario,2,10,1068.63,240.37,2,72.15
38,48,1,online,delivered,online,credit_card,"2023-09-04 07:29:12",2,7,Brampton,Ontario,2,6,1851.85,742.61,1,362.36
39,2,2,physical,paid,store,debit,"2023-08-28 22:50:02",2,22,Brampton,Ontario,1,3,986.47,380.60,1,1313.75
40,83,1,online,shipped,online,paypal,"2025-06-21 09:26:00",7,9,Mississauga,Ontario,2,6,1465.76,166.62,0,1327.16
41,76,8,physical,delivered,store,other,"2023-09-03 06:51:56",1,6,Kingston,Ontario,4,9,1771.51,433.30,0,51.37
42,65,1,online,cancelled,online,credit_card,"2025-02-05 13:48:05",4,13,Kitchener,Ontario,4,9,1716.15,301.66,1,85.05
43,225,6,physical,delivered,store,cash,"2023-09-30 14:05:01",7,14,London,Ontario,5,14,2623.86,758.11,2,392.06
44,176,1,online,delivered,online,cash,"2025-05-13 20:56:15",3,20,Toronto,Ontario,2,7,993.00,176.99,1,1021.33
45,184,1,online,delivered,online,credit_card,"2025-09-23 01:06:46",3,1,Brampton,Ontario,2,2,669.07,268.75,0,738.35
46,120,5,physical,delivered,store,credit_card,"2024-04-25 15:17:35",5,15,Kingston,Ontario,3,12,2652.79,537.91,0,172.12
47,125,1,online,shipped,online,other,"2023-04-23 06:37:33",1,6,Kitchener,Ontario,5,15,3353.48,437.10,0,503.03
48,58,1,online,paid,online,paypal,"2023-12-04 23:22:43",2,23,Brampton,Ontario,2,5,1572.95,311.36,0,446.18
49,201,3,physical,shipped,store,paypal,"2023-08-12 21:58:34",7,21,Ottawa,Ontario,1,2,162.42,22.26,0,582.37
50,73,1,online,delivered,online,debit,"2024-06-07 16:09:32",6,16,Toronto,Ontario,3,12,2297.11,298.49,1,276.08
51,7,1,online,paid,online,credit_card,"2023-10-31 18:57:38",3,18,London,Ontario,5,14,2530.01,352.26,0,181.91
52,70,1,online,delivered,online,credit_card,"2023-01-29 01:58:44",1,1,Kitchener,Ontario,3,12,1104.98,280.50,2,106.11
53,22,1,online,shipped,online,credit_card,"2023-06-02 10:45:02",6,10,Toronto,Ontario,5,20,2263.96,440.92,1,1206.73
54,28,1,online,delivered,online,credit_card,"2025-04-30 01:52:08",4,1,Hamilton,Ontario,5,13,3411.72,317.40,0,800.93
55,29,1,online,cancelled,online,credit_card,"2023-09-08 04:12:49",6,4,Kitchener,Ontario,4,10,2104.56,242.13,1,539.79
56,221,1,online,returned,online,cash,"2025-11-24 00:58:28",2,0,Kitchener,Ontario,1,5,1372.15,541.95,2,56.65
57,11,4,physical,returned,store,credit_card,"2024-06-26 21:46:27",4,21,Ottawa,Ontario,3,7,2424.91,232.33,0,815.84
58,185,2,physical,paid,store,credit_card,"2025-04-28 13:00:01",2,13,Kingston,Ontario,1,1,112.77,7.31,2,75.84
59,217,7,physical,delivered,store,debit,"2025-02-16 01:54:22",1,1,Toronto,Ontario,4,12,1940.45,567.83,2,886.65
60,171,4,physical,delivered,store,debit,"2025-11-16 03:54:46",1,3,Brampton,Ontario,1,2,583.39,234.53,0,429.67
61,47,5,physical,delivered,store,debit,"2023-03-28 19:22:12",3,19,Mississauga,Ontario,5,21,4554.09,727.72,0,965.81
